Předmět;Počátečnídatum;Začátek;Koncovédatum;Konec;Celodennízvlátníudálost;Připomenutízapnutočivypnuto;Počátečnídatum;Časpřipomenutí;Organizátorschůzek;Povinníúčastníci;Nepovinníúčastníci;Prostředkyproschůzku;Faktury;Kategorie;Popis;Priorita;Soukromé;Umístění;Utajení;Vzdálenost;Zobrazitčasjako
Vezmi a čti Sd 4–6 ;07.02.2014;0:00:00;08.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;07.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-07;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Sd 7–9 ;08.02.2014;0:00:00;09.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;08.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-08;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Sd 10–12 ;10.02.2014;0:00:00;11.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;10.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-10;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Sd 13–15;11.02.2014;0:00:00;12.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;11.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-11;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Sd 16–18 ;12.02.2014;0:00:00;13.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;12.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-12;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Sd 19–21;13.02.2014;0:00:00;14.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;13.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-13;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Řím 1–3 ;14.02.2014;0:00:00;15.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;14.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-14;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Řím 4–5;15.02.2014;0:00:00;16.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;15.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-15;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Řím 6–8 ;17.02.2014;0:00:00;18.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;17.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-17;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Řím 9–11 ;18.02.2014;0:00:00;19.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;18.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-18;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Řím 12–13 ;19.02.2014;0:00:00;20.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;19.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-19;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Řím 14–16;20.02.2014;0:00:00;21.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;20.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-20;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Rút 1–4 ;21.02.2014;0:00:00;22.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;21.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-21;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Ef 1–3 ;22.02.2014;0:00:00;23.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;22.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-22;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Ef 4–6;24.02.2014;0:00:00;25.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;24.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-24;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1S 1–3;25.02.2014;0:00:00;26.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;25.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-25;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1S 4–6 ;26.02.2014;0:00:00;27.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;26.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-26;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1S 7–9 ;27.02.2014;0:00:00;28.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;27.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-27;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1S 10–12 ;28.02.2014;0:00:00;01.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;28.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-28;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1S 13–15 ;01.03.2014;0:00:00;02.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;01.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-01;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1S 16–19 ;03.03.2014;0:00:00;04.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;03.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-03;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1S 20–22 ;04.03.2014;0:00:00;05.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;04.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-04;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1S 23–25 ;05.03.2014;0:00:00;06.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;05.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-05;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1S 26–28;06.03.2014;0:00:00;07.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;06.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-06;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1S 29–31;07.03.2014;0:00:00;08.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;07.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-07;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Kol 1–4;08.03.2014;0:00:00;09.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;08.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-08;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2S 1–3;10.03.2014;0:00:00;11.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;10.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-10;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2S 4–7 ;11.03.2014;0:00:00;12.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;11.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-11;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2S 8–10 ;12.03.2014;0:00:00;13.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;12.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-12;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2S 11–13 ;13.03.2014;0:00:00;14.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;13.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-13;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2S 14–17 ;14.03.2014;0:00:00;15.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;14.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-14;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2S 18–20 ;15.03.2014;0:00:00;16.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;15.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-15;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2S 21–24;17.03.2014;0:00:00;18.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;17.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-17;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Flp 1–4 ;18.03.2014;0:00:00;19.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;18.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-18;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1Kr 1–3 ;19.03.2014;0:00:00;20.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;19.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-19;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1Kr 4–6 ;20.03.2014;0:00:00;21.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;20.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-20;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1Kr 7–9 ;21.03.2014;0:00:00;22.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;21.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-21;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1Kr 10–12;22.03.2014;0:00:00;23.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;22.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-22;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1Kr 13–15 ;24.03.2014;0:00:00;25.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;24.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-24;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1Kr 16–19 ;25.03.2014;0:00:00;26.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;25.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-25;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1Kr 20–22 ;26.03.2014;0:00:00;27.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;26.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-26;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Filemonovi;27.03.2014;0:00:00;28.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;27.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-27;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2Kr 1–4 ;28.03.2014;0:00:00;29.03.2014;0:00:00;NEPRAVDA;NEPRAVDA;28.03.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-03-28;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2Kr 5–7 ;01.04.2014;0:00:00;02.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;01.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-01;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2Kr 8–11 ;02.04.2014;0:00:00;03.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;02.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-02;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2Kr 12–14;03.04.2014;0:00:00;04.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;03.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-03;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2Kr 15–18 ;04.04.2014;0:00:00;05.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;04.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-04;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2Kr 19–21;05.04.2014;0:00:00;06.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;05.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-05;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2Kr 22–25;07.04.2014;0:00:00;08.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;07.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-07;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Lk 1–3;08.04.2014;0:00:00;09.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;08.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-08;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Lk 4–6;09.04.2014;0:00:00;10.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;09.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-09;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Lk 7–9;10.04.2014;0:00:00;11.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;10.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-10;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Lk 10–12 ;11.04.2014;0:00:00;12.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;11.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-11;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Lk 13–15;12.04.2014;0:00:00;13.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;12.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-12;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Lk 16–18;14.04.2014;0:00:00;15.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;14.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-14;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Lk 19–21;15.04.2014;0:00:00;16.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;15.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-15;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Lk 22–24;16.04.2014;0:00:00;17.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;16.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-16;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1Pa 1–4 ;17.04.2014;0:00:00;18.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;17.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-17;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1Pa 5–8;18.04.2014;0:00:00;19.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;18.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-18;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1Pa 9–11;19.04.2014;0:00:00;20.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;19.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-19;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1Pa 12–14;21.04.2014;0:00:00;22.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;21.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-21;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1Pa 15–17;22.04.2014;0:00:00;23.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;22.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-22;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1Pa 18–20;23.04.2014;0:00:00;24.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;23.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-23;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1Pa 21–23;24.04.2014;0:00:00;25.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;24.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-24;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1Pa 24–26;25.04.2014;0:00:00;26.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;25.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-25;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1Pa 27–29;26.04.2014;0:00:00;27.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;26.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-26;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Titovi ;28.04.2014;0:00:00;29.04.2014;0:00:00;NEPRAVDA;NEPRAVDA;28.04.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-04-28;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2Pa 1–4 ;01.05.2014;0:00:00;02.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;01.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-01;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2Pa 5–7;02.05.2014;0:00:00;03.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;02.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-02;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2Pa 8–11;03.05.2014;0:00:00;04.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;03.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-03;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2Pa 12–15;05.05.2014;0:00:00;06.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;05.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-05;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2Pa 16–18;06.05.2014;0:00:00;07.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;06.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-06;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2Pa 19–21;07.05.2014;0:00:00;08.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;07.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-07;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2Pa 22–24;08.05.2014;0:00:00;09.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;08.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-08;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2Pa 25–27;09.05.2014;0:00:00;10.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;09.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-09;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2Pa 28–30;10.05.2014;0:00:00;11.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;10.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-10;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2Pa 31–33;12.05.2014;0:00:00;13.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;12.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-12;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 2Pa 34–36;13.05.2014;0:00:00;14.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;13.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-13;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Jonáš;14.05.2014;0:00:00;15.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;14.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-14;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Tob 1–2;15.05.2014;0:00:00;16.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;15.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-15;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Tob 3–4;16.05.2014;0:00:00;17.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;16.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-16;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Tob 5–6;17.05.2014;0:00:00;18.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;17.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-17;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Tob 7–8;19.05.2014;0:00:00;20.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;19.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-19;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Tob 9–12;20.05.2014;0:00:00;21.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;20.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-20;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Tob 13–14;21.05.2014;0:00:00;22.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;21.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-21;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Abdiáš;22.05.2014;0:00:00;23.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;22.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-22;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Joel;23.05.2014;0:00:00;24.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;23.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-23;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Nahum;24.05.2014;0:00:00;25.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;24.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-24;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Abakuk;26.05.2014;0:00:00;27.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;26.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-26;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Sofoniáš;27.05.2014;0:00:00;28.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;27.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-27;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1Petr 1–3;28.05.2014;0:00:00;29.05.2014;0:00:00;NEPRAVDA;NEPRAVDA;28.05.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-05-28;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti 1Petr 4–5;02.06.2014;0:00:00;03.06.2014;0:00:00;NEPRAVDA;NEPRAVDA;02.06.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-06-02;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Jdt 1–4;03.06.2014;0:00:00;04.06.2014;0:00:00;NEPRAVDA;NEPRAVDA;03.06.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-06-03;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Jdt 5–7;04.06.2014;0:00:00;05.06.2014;0:00:00;NEPRAVDA;NEPRAVDA;04.06.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-06-04;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Jdt 8–11;05.06.2014;0:00:00;06.06.2014;0:00:00;NEPRAVDA;NEPRAVDA;05.06.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-06-05;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Jdt 12–16;06.06.2014;0:00:00;07.06.2014;0:00:00;NEPRAVDA;NEPRAVDA;06.06.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-06-06;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Jer 1–3;07.06.2014;0:00:00;08.06.2014;0:00:00;NEPRAVDA;NEPRAVDA;07.06.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-06-07;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Jer 4–6;09.06.2014;0:00:00;10.06.2014;0:00:00;NEPRAVDA;NEPRAVDA;09.06.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-06-09;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Jer 7–9;10.06.2014;0:00:00;11.06.2014;0:00:00;NEPRAVDA;NEPRAVDA;10.06.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-06-10;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Jer 10–12;11.06.2014;0:00:00;12.06.2014;0:00:00;NEPRAVDA;NEPRAVDA;11.06.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-06-11;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Jer 13–15;12.06.2014;0:00:00;13.06.2014;0:00:00;NEPRAVDA;NEPRAVDA;12.06.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-06-12;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Jer 16–18;13.06.2014;0:00:00;14.06.2014;0:00:00;NEPRAVDA;NEPRAVDA;13.06.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-06-13;Střední;NEPRAVDA;;Normální;;3
