Předmět;Počátečnídatum;Začátek;Koncovédatum;Konec;Celodennízvlátníudálost;Připomenutízapnutočivypnuto;Počátečnídatum;Časpřipomenutí;Organizátorschůzek;Povinníúčastníci;Nepovinníúčastníci;Prostředkyproschůzku;Faktury;Kategorie;Popis;Priorita;Soukromé;Umístění;Utajení;Vzdálenost;Zobrazitčasjako
Vezmi a čti Ex 5–8 ;05.11.2013;0:00:00;06.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;05.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-05;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Ex 9–11 ;06.11.2013;0:00:00;07.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;06.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-06;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Ex 12–14;07.11.2013;0:00:00;08.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;07.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-07;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Ex 15–17;08.11.2013;0:00:00;09.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;08.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-08;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Ex 18–20;09.11.2013;0:00:00;10.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;09.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-09;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Ex 21–24;11.11.2013;0:00:00;12.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;11.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-11;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Ex 25–27;12.11.2013;0:00:00;13.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;12.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-12;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Ex 28–31;13.11.2013;0:00:00;14.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;13.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-13;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Ex 32–34;14.11.2013;0:00:00;15.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;14.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-14;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Ex 35–37;15.11.2013;0:00:00;16.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;15.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-15;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Ex 38–40;16.11.2013;0:00:00;17.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;16.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-16;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Žid 1–3 ;18.11.2013;0:00:00;19.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;18.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-18;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Žid 4–6;19.11.2013;0:00:00;20.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;19.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-19;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Žid 7–10;20.11.2013;0:00:00;21.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;20.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-20;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Žid 11–13;21.11.2013;0:00:00;22.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;21.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-21;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Lv 1–4;22.11.2013;0:00:00;23.11.2013;0:00:00;NEPRAVDA;NEPRAVDA;22.11.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-11-22;Střední;NEPRAVDA;;Normální;;3
